Date Opened,Recall Number,Recall Class,Product,Reason for Recall,Pounds Recalled
Jan 05 2005,001-2005,I,Beef Filled Gyozas,Undeclared Allergen,"2,520"
Jan 11 2005,002-2005,I,Chicken Biryani Frozen Entrées,Undeclared Allergen,Undetermined
Jan 19 2005,003-2005,I,Frozen Egg Rolls,Extraneous Material,"353,533"
Jan 31 2005,004-2005,I,Chicken Products,Listeria monocytogenes,"5,760"
Feb 09 2005,005-2005,I,Ready-to-Eat Ham,Listeria monocytogenes,47
Feb 14 2005,006-2005,I,Ground Beef,Misbranding,"123,000"
Feb 17 2005,007-2005,I,Soup With Meatballs And Chicken,Undeclared Allergen,"4,275"
Feb 28 2005,008-2005,I,Cooked Pork Products,Listeria monocytogenes,"1,120"
Mar 15 2005,009-2005,I,Chicken Salad,Listeria monocytogenes,250
Mar 16 2005,010-2005,I,Chicken Dumplings,Listeria monocytogenes,"12,090"
Mar 17 2005,011-2005,I,Fully Cooked Chicken Breast Strips,Processing Defect,"230,700"
Mar 18 2005,012-2005,I,Deli Franks,Undeclared Allergen,400
Mar 24 2005,013-2005,III,Cheeseburger Stuffed Sandwiches,Misbranding,"74,810"
Mar 25 2005,014-2005,I,Chicken Products,Listeria monocytogenes,"12,500"
Apr 05 2005,015-2005,I,Chicken Wrap Sandwiches,Listeria monocytogenes,"3,316"
Apr 05 2005,016-2005,I,Sausage Products,Listeria monocytogenes,"5,117"
Apr 11 2005,017-2005,I,Smoked Turkey And Pork Products,Listeria monocytogenes,"39,000"
Apr 11 2005,018-2005,I,Sausage Products,Listeria monocytogenes,"10,700"
Apr 12 2005,019-2005,I,Spaghettios Plus Calcium,Undeclared Allergen,"473,500"
Apr 19 2005,020-2005,I,Sausage Products,Listeria monocytogenes,40
Apr 21 2005,021-2005,I,RTE Meat Products,Listeria monocytogenes,"1,077"
Apr 26 2005,022-2005,I,Meat Wrap Sandwiches,Listeria monocytogenes,191
Apr 28 2005,023-2005,I,Chicken Breast Wrap Sandwiches,Listeria monocytogenes,385
Apr 29 2005,024-2005,I,Ham Products,Listeria monocytogenes,"29,000"
May 30 2005,025-2005,I,RTE Meat Products,Listeria monocytogenes,"363,332"
Jun 09 2005,026-2005,I,Frozen Ground Beef Products,E. coli O157:H7,"63,850"
Jun 15 2005,027-2005,I,Chicken Salad,Listeria monocytogenes,"5,065"
Jun 21 2005,028-2005,I,Frozen Chicken And Sausage Gumbo,Undeclared Allergen,"13,455"
Jun 26 2005,029-2005,I,Spanish Sausage,Listeria monocytogenes,720
Jul 21 2005,030-2005,I,Cooked Chicken Products,Listeria monocytogenes,170
Jul 28 2005,031-2005,I,Meat And Poultry Products,Listeria monocytogenes,"93,200"
Aug 19 2005,032-2005,II,Beef Products,Other,"1,856"
Aug 22 2005,033-2005,I,Frozen Ground Beef Patties,E. coli O157:H7,"900,000"
Aug 23 2005,034-2005,I,RTE Chicken and Beef Products,Listeria monocytogenes,"23,435"
Aug 29 2005,035-2005,I,Polish Sausage,Processing Defect,"35,830"
Aug 29 2005,036-2005,II,Pork Sausage,Undeclared Allergen,"3,400"
Sep 13 2005,037-2005,I,Sausage And Bacon Products,Other,"2,890"
Sep 15 2005,038-2005,I,Sausage Products,Listeria monocytogenes,890
Sep 20 2005,039-2005,I,Chicken Frankfurters,Listeria monocytogenes,"23,040"
Sep 23 2005,040-2005,I,Frozen Ground Beef Patties,E. coli O157:H7,"184,000"
Sep 28 2005,041-2005,I,Cooked Country Hams,Listeria monocytogenes,165
Oct 02 2005,042-2005,I,Chicken Sausage Products And Beef Wieners,Listeria monocytogenes,"1,076"
Oct 06 2005,043-2005,II,Ham Products,Undeclared Allergen,"37,000"
Oct 22 2005,044-2005,I,RTE Meat And Poultry Products,Listeria monocytogenes,"11,200"
Oct 31 2005,045-2005,I,RTE Beef Products,Listeria monocytogenes,"2,263"
Nov 01 2005,046-2005,I,Frozen Ground Beef Patties,E. coli O157:H7,"94,400"
Nov 03 2005,047-2005,I,Ground Beef,E. coli O157:H7,"6,200"
Nov 08 2005,048-2005,I,RTE Chicken Product,Listeria monocytogenes,275
Nov 10 2005,049-2005,I,Chicken Salad Products,Listeria monocytogenes,"5,523"
Nov 13 2005,050-2005,II,Chicken Products,Chemical Contamination,"389,000"
Nov 22 2005,051-2005,I,Ham And Beef Products,Other,340
Dec 01 2005,052-2005,I,"Turkey, Ham and Bologna Lunch Meal Products",Listeria monocytogenes,"2,800,000"
Dec 10 2005,053-2005,I,Frozen Pot Roast Dinners,Undeclared Allergen,325
