Recall Date,Recall Number,Recall Class,Product,Reason for Recall,Pounds Recalled
Jan 09 2010,001-2010,I,Pork Skin Products,Undeclared Allergen,205
Jan 11 2010,002-2010,I,Beef Products,E. coli O157:H7,"2,574"
Jan 15 2010,003-2010,II,Beef Carcass,Other,490
Jan 18 2010,004-2010,I,Beef Products,E. coli O157:H7,"864,000"
Jan 20 2010,005-2010,I,Frozen Chicken Pot Pie Products,Extraneous Material,"19,200"
Jan 23 2010,006-2010,I,Italian Sausage Products,Salmonella,"1,395,989"
Jan 27 2010,007-2010,II,Instant Noodle Products,Other,"50,000"
Feb 02 2010,008-2010,I,Boneless Beef Products,E. coli O157:H7,"14,000"
Feb 05 2010,009-2010,II,Pork Barbecue Products,Undeclared Allergen,"2,850"
Feb 10 2010,010-2010,II,Frozen Cured Pork Patty Mix,Undeclared Allergen,750
Feb 10 2011,011-2010,II,RTE Sausage Products,Extraneous Material,"1,485"
Feb 12 2010,012-2010,II,Frozen Turkey Patty Products,Undeclared Allergen,"16,290"
Feb 12 2010,004-2010 Expansion,I,Beef and Veal Products,Other,"4,900,000"
Mar 02 2010,013-2010,I,Beef Products,E. coli O157:H7,"96,000"
Mar 08 2010,014-2010,III,Baken-ets Fried Pork Skins,Undeclared Substance,186
Mar 08 2011,015-2010,I,RTE Bacon Base Product,Salmonella,"6,000"
Mar 09 2010,016-2010,I,RTE Beef Product,Salmonella,"115,700"
Mar 09 2011,017-2010,I,RTE Beef Taquitos and Chicken Quesadilla Products,Salmonella,"1,700,000"
Mar 11 2010,018-2010,I,Chicken Products,Other,Undetermined
Mar 12 2010,019-2010,I,Enchilada Products,Undeclared Allergen,"9,400"
Mar 13 2010,020-2010,I,Asian-Style Meat and Poultry Products,Other,"12,382"
Mar 19 2010,021-2010,II,Italian Turkey Sausage Products,Undeclared Allergen,"10,368"
Apr 04 2010,022-2010,I,Ham Products,Listeria monocytogenes,100
Apr 05 2010,023-2010,II,Whole Beef Heads,Other,"25,000"
Apr 17 2010,024-2010,II,Fully Cooked Assorted Meat Products,Undeclared Allergen,"140,000"
Apr 21 2010,025-2010,I,Beef Trim Products,E. coli O157:H7,"135,500"
Apr 29 2010,026-2010,I,Brunswick Stew Products,Undeclared Allergen,414
May 01 2010,027-2010,I,Fully Cooked Crumbled Pork Sausage Products,Listeria monocytogenes,460
May 04 2010,028-2010,I,Prosciutto Products,Listeria monocytogenes,822
May 05 2010,029-2010,I,Prosciutto Products,Listeria monocytogenes,70
May 05 2010,030-2010,II,Buffalo Style Chicken Salad Products,Extraneous Material,40
May 07 2010,031-2010,II,Fully Cooked Mini Pretzel Dog Products,Other,"49,600"
May 12 2010,032-2010,I,Chicken and Beef Puff Products,Undeclared Allergen,250
May 14 2010,033-2010,II,Imported Beef Products,Residue,"87,000"
