Date Opened,Recall Number,Recall Class,Product,Reason for Recall,Pounds Recalled
Jan 03 2009,001-2009,I,Bacon Products,Listeria monocytogenes,"3,590"
Jan 20 2009,002-2009,II,"Frozen, Stuffed, Chicken Products",Extraneous Material,"6,050"
Jan 30 2009,003-2009,I,Frozen Chili Beef Products,Extraneous Material,"676,560"
Feb 04 2009,004-2009,I,Frozen Chicken Entreés,Salmonella,"983,700"
Feb 06 2009,005-2009,I,Sausage Products,Listeria monocytogenes,872
Feb 13 2009,006-2009,II,Granulated Chicken Bouillon Product,Other,"89,531"
Feb 27 2009,007-2009,II,Stuffed Chicken Breast Product,Undeclared Allergen,"2,852"
Feb 27 2009,008-2009,I,Frozen Ground Chicken Product,Extraneous Material,"13,776"
Mar 12 2009,009-2009,II,Chicken Drink Product,Other,"2,858"
Mar 13 2009,010-2009,II,Granulated Chicken Bouillon Product,Other,"17,674"
Mar 24 2009,011-2009,II,Smoked Chicken Sausage Product,Misbranding,"3,456"
Mar 25 2009,012-2009,I,Cheese Frank Product,Undeclared Allergen,"1,728"
Mar 28 2009,013-2009,II,"Beef, Chicken, Goat and Lamb Products",Other,"2,925"
Apr 03 2009,014-2009,II,Chicken Base Product,Other,"114,540"
Apr 04 2009,015-2009,I,Frozen Chicken Egg Roll Product,Salmonella,"12,460"
Apr 17 2009,016-2009,I,Turkey Soup Product,Undeclared Allergen,"37,776"
Apr 26 2009,017-2009,II,Frozen Meat and Poultry Pasta Products,Other,"139,831"
Apr 29 2009,018-2009,II,Hot-Pot Seasoning Product,Other,"16,213"
May 04 2009,019-2009,I,Ground Beef Products,E.coli O157:H7,"4,663"
May 12 2009,R01-2009,I,Ground Beef Products,E.coli O157:H7,375
May 14 2009,020-2009,II,Red Pork Tamale Products,Undeclared Allergen,"4,594"
May 14 2009,021-2009,I,Frozen Pork Products,Undeclared Allergen,"2,075"
May 21 2009,022-2009,I,Ground Beef Products,E.coli O157:H7,"95,898"
May 22 2009,023-2009,I,Beef and Pork Products,Unapproved Substance,"350,000"
May 29 2009,024-2009,III,Beef Primal and Subprimal Products,Other,"14,560"
May 29 2009,025-2009,III,Ground Beef Products,Extraneous Material,"241,000"
Jun 02 2009,026-2009,III,Chili No Beans,Misbranding,"153,698"
Jun 02 2009,027-2009,I,Ground Beef Products,E.coli O157:H7,"39,973"
Jun 03 2009,028-2009,I,Duck Leg Confit and Kolbase Sausage,Listeria monocytogenes,564
Jun 05 2009,029-2009,I,Various Fully Cooked Ready to Eat Meat and Poultry Products,Processing Defect,"79,312"
Jun 08 2009,030-2009,I,Beef Trim Products,E.coli O157:H7,75
Jun 10 2009,031-2009,III,Fully Cooked Ham Products,Undeclared Substance,"2,680,000"
Jun 10 2009,032-2009,I,Frozen Poultry Products,Undeclared Allergen,"608,188"
Jun 22 2009,033-2009,I,Ground Beef Products,E.coli O157:H7,"6,152"
Jun 24 2009,034-2009,I,Beef Products,E.coli O157:H7,"380,000"
Jun 24 2009,035-2009,I,Cervelat Sausage Product,Processing Defect,350
Jun 30 2009,036-2009,II,Frozen Meat and Poultry Products,Unapproved Substance,"208,768"
Jul 01 2009,037-2009,I,Pre-Packaged Meal Kits,Salmonella,Undetermined
Jul 12 2009,038-2009,I,Ground Beef Products,E.coli O157:H7,219
Jul 22 2009,039-2009,I,Ground Beef Products,Salmonella,"466,236"
Jul 29 2009,040-2009,I,Ready to Eat Pork Skin Products,Other,"1,450"
Aug 06 2009,041-2009,I,Ground Beef Products,Salmonella,"825,769"
Aug 13 2009,042-2009,I,Ground Beef Products,E.coli O157:H7,"3,516"
Aug 17 2009,043-2009,I,Ground Beef Products,E.coli O157:H7,128
Aug 17 2009,044-2009,II,Frozen Pepperoni and Sausage Pizza Products,Undeclared Allergen,"8,000"
Aug 24 2009,045-2009,I,Smoked Beef Products,Listeria monocytogenes,207
Sep 01 2009,046-2009,I,Ready to Eat Meal Kits,Listeria monocytogenes,"39,514"
Sep 08 2009,047-2009,I,Chunky Grilled Steak with Vegetables Canned Soup,Processing Defect,"6,490"
Sep 11 2009,048-2009,I,Frozen Sausage Products,Undeclared Allergen,"2,000"
Sep 11 2009,049-2009,I,Beef and Bean Burrito Products,Listeria monocytogenes,"2,268"
Sep 24 2009,050-2009,I,Braunschweiger Sausage Products,Undeclared Allergen,756
Sep 25 2009,051-2009,II,Frozen Skinless Sausage Cured Pork Longanisa,Undeclared Allergen,"28,470"
Oct 13 2009,052-2009,I,Ground Beef Products,E.coli O157:H7,925
Oct 15 2009,053-2009,II,Beef Tongues,Other,"33,000"
Oct 16 2009,054-2009,I,Meat and Poultry Products,Other,"11,500"
Oct 17 2009,055-2009,II,Beef Tongues,Other,"5,522"
Oct 21 2009,056-2009,I,Smoked Beef Products,Listeria monocytogenes,14
Oct 26 2009,057-2009,I,Ground Beef Patties,E.coli O157:H7,"1,039"
Oct 28 2009,058-2009,II,Canned Chili with Beans,Undeclared Allergen,"91,125"
Oct 31 2009,059-2009,I,Ground Beef Products,E.coli O157:H7,"545,699"
Nov 04 2009,060-2009,II,Canned Cream of Mushroom Soup,Undeclared Allergen,"20,286"
Nov 04 2009,061-2009,II,Roast Beef Deli Products,Undeclared Allergen,"12,181"
Nov 17 2009,062-2009,II,Assorted Meat and Poultry Products,Other,"3,790"
Nov 17 2009,063-2009,I,Ground Beef Products,E.coli O157:H7,90
Nov 27 2009,064-2009,II,Frozen Beef Steak Fritter Products,Extraneous Material,"110,730"
Dec 04 2009,065-2009,I,Ground Beef Products,Salmonella,"22,723"
Dec 21 2009,066-2009,I,Ground Beef Products,E.coli O157:H7,68
Dec 24 2009,067-2009,I,Beef Products,E.coli O157:H7,"248,000"
Dec 24 2009,068-2009,I,Ham Products,Listeria monocytogenes,312
